issue_type,field,count,pct_of_rows
completeness,processing_timestamp missing/blank,440,87.65
completeness,applicant_info.email missing/blank,7,1.39
completeness,applicant_info.ssn missing/blank,5,1.0
completeness,applicant_info.ip_address missing/blank,5,1.0
completeness,applicant_info.date_of_birth missing/blank,5,1.0
completeness,financials.annual_income missing/blank,5,1.0
completeness,applicant_info.gender missing/blank,3,0.6
completeness,applicant_info.zip_code missing/blank,2,0.4
consistency,applicant_info.date_of_birth non-ISO format,157,31.27
consistency,applicant_info.gender inconsistent coding,114,22.71
consistency,financials.annual_income stored as string,8,1.59
consistency,_id duplicate,2,0.4
validity,applicant_info.email invalid format,4,0.8
validity,financials.credit_history_months < 0,2,0.4
validity,financials.debt_to_income > 1,1,0.2
validity,financials.savings_balance < 0,1,0.2
